rowid,kepid,is_exoplanet,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
3821,5024177,0,0.787120016,131.73939,1.263,3.1648,265.5,23.81,1972,3579.78,43.3,1,q1_q17_dr25_tce,6112,4.481,0.787,295.2811,40.132858,14.964
3823,4548011,1,6.28384079,133.20513,0.101,4.291,35.7,0.73,1108,356.49,14.9,1,q1_q17_dr25_tce,5888,4.275,1.227,287.37125,39.603569,12.4
3824,4571004,0,21.131609,139.7493,0.0731,13.66,73.5,0.94,659,44.45,6.5,,,5780,4.438,1,294.20786,39.680115,13.482
3825,4571004,0,81.675841,158.9694,0.3455,11.53,143.4,1.31,420,7.33,7,,,5780,4.438,1,294.20786,39.680115,13.482
3826,4571004,0,28.5463574,159.2763,0.2411,9.29,153.3,1.35,596,29.76,10.1,,,5780,4.438,1,294.20786,39.680115,13.482
3828,4571004,0,72.563291,202.0235,0.4863,3.088,332.3,1.99,436,8.58,6.4,,,5780,4.438,1,294.20786,39.680115,13.482
3829,8459663,1,174.510276,201.47056,0.024,6.689,1530,1.74,186,0.28,14.8,1,q1_q17_dr25_tce,4367,4.822,0.452,300.48816,44.46067,15.873
3831,10155321,0,15.705388,135.0768,0.6449,4.871,283.7,3.3,1181,459.41,10.6,,,7454,4.107,1.853,296.77271,47.158539,13.362
3832,3866536,0,7.65270746,134.46038,0.97,79.8969,641.1,3.21,989,226.81,254.3,1,q1_q17_dr25_tce,6328,4.481,0.963,295.50211,38.98354,13.099
3833,7046035,1,2.27164952,131.82601,0.01,4.054,82.4,0.97,1522,1269.46,12.7,1,q1_q17_dr25_tce,6274,4.434,1.062,295.32983,42.534962,15.332
3834,4679314,0,3.84835742,133.25649,0.671,10.18,84.2,0.77,1051,288.62,32.8,1,q1_q17_dr25_tce,5709,4.57,0.798,297.50562,39.756802,13.656
3836,5702637,0,1.0388961,132.37849,1.7017,4.755,600.8,114.1,2494,9145.54,14.7,1,q1_q16_tce,7043,4.264,1.45,290.86606,40.901581,12.114
3837,8309169,0,293.76887,257.9779,0.753,4.68,462,1.97,271,1.28,4,,,6074,4.522,0.847,295.15546,44.294861,15.099
3838,4678919,0,1.87885327,133.08861,0.513,3.302,120.9,0.97,1406,922.49,12.1,1,q1_q17_dr25_tce,5851,4.534,0.863,297.42743,39.781139,13.689
3839,5563080,0,0.785473311,131.861548,0.389,1.3911,339.6,1.61,1769,2325.64,57,1,q1_q17_dr25_tce,5356,4.466,0.871,298.92361,40.749538,14.333
3840,6364067,0,5.2438982,132.6882,0.644,7.881,162.2,1.24,1026,262.14,18.7,1,q1_q17_dr25_tce,5804,4.473,0.927,291.8269,41.7099,15.563
3842,5983532,0,441.877824,251.778,1.5335,6.647,1300,39.55,158,0.15,15.2,,,4437,4.629,0.635,297.78012,41.209229,15.05
3843,3439126,0,2.9761504,132.9276,0.064,6.079,259.5,1.02,811,102.54,8.3,3,q1_q17_dr25_tce,4236,4.612,0.664,290.15723,38.52438,15.104
3844,8463346,1,64.0019669,132.61779,0.701,4.724,1112.5,2.48,322,2.55,14.2,2,q1_q17_dr25_tce,4652,4.617,0.697,301.72076,44.41206,15.856
3845,5868793,1,4.83809469,135.1562,0.014,1.096,1544,0.79,354,3.7,11.3,1,q1_q17_dr25_tce,3187,5.091,0.2,289.37668,41.158672,17.058
3846,8483021,0,361.91436,241.7138,0.6901,8.68,228.2,1.84,297,1.84,13,,,6247,4.309,1.147,286.40723,44.527355,13.971
3847,10063208,1,9.3281912,132.85459,0.044,3.991,45.2,0.59,788,91.02,13.7,1,q1_q17_dr25_tce,5525,4.514,0.888,286.38693,47.016628,12.897
3850,10669994,1,2.71603664,132.35962,0.44,1.744,98.5,1.05,1360,807.43,13.1,1,q1_q17_dr25_tce,6011,4.452,1.041,293.62308,47.96191,14.801
3852,11449918,0,374.59003,303.4857,0.0624,15.19,267.9,1.34,227,0.62,6.6,,,5497,4.508,0.827,288.93597,49.360142,14.878
3855,3750350,0,319.30633,221.3106,0.092,6.74,155.2,1.26,279,1.44,7.2,1,q1_q17_dr25_tce,6095,4.459,1.014,292.33884,38.84491,13.327
3856,8949925,0,42.0292298,138.8086,0.015,8.499,373.7,2.33,578,26.46,14.5,2,q1_q17_dr25_tce,5850,4.297,1.217,290.73447,45.297791,15.085
3857,4584865,0,1.75254087,132.73775,0.5574,4.098,42.5,1.41,2423,8141.84,17.7,1,q1_q17_dr24_tce,6660,3.894,2.074,297.16086,39.63007,12.58
3858,9642018,0,0.505111993,131.51614,0.841,0.4053,212.8,1.58,1886,2970.58,18.7,1,q1_q17_dr25_tce,5262,4.59,0.783,288.59683,46.326038,15.544
3859,9183378,1,3.38557445,133.97411,0.129,1.879,121.9,1.63,1476,1122.9,13.1,1,q1_q17_dr25_tce,5718,4.069,1.48,300.93539,45.596539,13.767
3860,11188254,0,2.754024,133.731,0.7277,4.15,172.2,1.68,1553,1374.41,13.8,1,q1_q16_tce,6419,4.321,1.188,290.64301,48.887501,14.059
3861,1724513,0,1.975208831,131.63127,0.559,1.513,76.3,1.59,2064,4299.89,15.1,1,q1_q17_dr25_tce,6401,4.029,1.744,292.16486,37.275742,13.609
3862,9535876,0,0.960843605,131.7739,1.143,3.22,141.7,19.15,1904,3120.32,25.5,1,q1_q17_dr25_tce,5708,4.378,1.129,295.55756,46.172241,14.92
3863,5817533,0,4.206109,132.2382,0.607,5.16,120,0.91,999,235.01,11.9,1,q1_q17_dr25_tce,5480,4.522,0.802,298.47058,41.06625,15.316
3864,7596240,1,13.3997555,131.84235,0.375,3.534,167.3,1.51,886,145.65,13.6,1,q1_q17_dr25_tce,6401,4.389,1.15,287.7627,43.274429,14.924
3866,12107008,0,5.93725628,135.9371,0.351,3.639,115.6,0.86,891,148.97,17.1,1,q1_q17_dr25_tce,5428,4.494,0.799,289.20834,50.61599,14.702
3868,7427764,1,4.56383697,132.26068,0.365,2.271,201.8,1.22,980,218.18,9.9,1,q1_q17_dr25_tce,5408,4.496,0.861,285.72272,43.00948,15.448
3870,4754831,0,55.119831,153.6508,0.6049,4.703,114.5,1.68,622,35.48,8.2,,,6297,4.155,1.506,294.05481,39.845249,12.211
3871,4754831,0,25.6416117,152.9007,0.5744,5.5,126.4,1.76,803,98.5,4.9,,,6297,4.155,1.506,294.05481,39.845249,12.211
3872,9899630,0,1.33258455,132.0268,1.141,5.77,152.7,15.89,1680,1884.66,8.1,1,q1_q17_dr25_tce,6039,4.493,0.951,295.3027,46.772018,15.556
3873,4367528,0,350.81029,147.6369,0.3892,11.29,538.3,2.86,282,1.51,15.1,,,5841,4.321,1.226,292.27774,39.461071,14.982
3874,8416523,1,0.341842017,131.660336,0.957,1.1554,285.6,1.72,2023,3991.16,70.1,1,q1_q17_dr25_tce,5016,4.601,0.747,285.41061,44.412209,14.915
