"rowid","kepid","kepoi_name","koi_period","koi_time0bk","koi_impact","koi_duration","koi_depth","koi_prad","koi_teq","koi_insol","koi_model_snr","koi_steff","koi_slogg","koi_srad","predict","CONFIRMED","FALSE POSITIVE"
2103,9574158,"K02512.01",15.92108138,147.0537,0.9720000000000001,1.5443,716.8000000000001,3.14,645,40.88,16.1,5595,4.57,0.8200000000000001,"CONFIRMED",0.7508711753199111,0.24912882468008896
2104,9653622,"K02513.01",19.0054098,144.15573999999998,1.228,1.8430000000000002,542.4,28.47,758,78.19,20.200000000000003,6347,4.423,1.036,"FALSE POSITIVE",0.024697881643430564,0.9753021183565694
2106,7294743,"K02516.01",2.81043228,133.40821,0.35100000000000003,3.874,47.400000000000006,1.43,1701,1978.53,17.8,5415,3.868,2.079,"FALSE POSITIVE",0.3673167571943845,0.6326832428056155
2109,6765135,"K02592.01",175.603366,202.3721,0.9520000000000001,9.543000000000001,506.8,2.87,348,3.46,14.700000000000001,6225,4.461,1.0090000000000001,"FALSE POSITIVE",0.21894735138894128,0.7810526486110587
2110,3861595,"K00004.01",3.8493717370000002,157.52668599999998,0.915,2.632,1298.6000000000001,12.94,2034,4055.29,132.70000000000002,6244,3.657,2.992,"FALSE POSITIVE",0.04567355441802812,0.9543264455819719
2117,5342061,"K02666.01",64.034363,159.04319999999998,0.9850000000000001,9.174000000000001,758.8000000000001,3.47,411,6.72,16.900000000000002,5691,4.561,0.783,"FALSE POSITIVE",0.11434326662189287,0.8856567333781071
2125,4047631,"K02519.01",4.790912471,132.01539,0.9690000000000001,0.5134000000000001,360.70000000000005,2.25,717,62.51,17.6,4359,4.601,0.676,"CONFIRMED",0.7486418708805871,0.25135812911941285
2137,8022489,"K02674.01",197.5111484,272.3864,0.8140000000000001,11.106,2575.6000000000004,9.52,391,5.54,175.20000000000002,5616,4.0040000000000004,1.674,"CONFIRMED",0.7415162527271838,0.2584837472728162
2143,6516185,"K02445.01",47.365932799999996,175.03549999999998,1.085,7.929,757.0,11.97,481,12.620000000000001,16.0,5708,4.482,0.902,"FALSE POSITIVE",0.14307512392179444,0.8569248760782056
2146,7183745,"K02521.02",4.86634094,353.34130999999996,0.895,1.885,366.70000000000005,1.94,881,142.39000000000001,15.200000000000001,4996,4.497,0.8310000000000001,"CONFIRMED",0.81243067794903,0.18756932205096993
2147,9177629,"K02522.01",5.60402307,133.82507999999999,0.8,1.0273,224.9,1.25,774,84.65,20.6,4847,4.581,0.737,"CONFIRMED",0.9066937544935267,0.0933062455064733
2150,5942949,"K02525.01",57.2932309,146.23112,0.021,4.878,773.6,1.95,355,3.7600000000000002,15.700000000000001,4806,4.564,0.729,"CONFIRMED",0.849550726729553,0.15044927327044696
2153,7446631,"K02598.01",29.2254372,143.98764,0.384,5.293,174.10000000000002,1.35,614,33.69,15.700000000000001,6049,4.461,1.008,"CONFIRMED",0.7088087200473241,0.29119127995267596
