"rowid","kepid","kepoi_name","koi_period","koi_time0bk","koi_impact","koi_duration","koi_depth","koi_prad","koi_teq","koi_insol","koi_model_snr","koi_steff","koi_slogg","koi_srad","predict","CONFIRMED","FALSE POSITIVE"
6805,11818566,"K05935.01",416.87893121,227.5106644,,4.45,,,,,,,,,"FALSE POSITIVE",0.00414534170832485,0.9958546582916752
6806,11819396,"K05936.01",48.38798413,176.4653521,,1.23,,,,,,,,,"FALSE POSITIVE",0.008973514455370604,0.9910264855446294
6808,11860294,"K05938.01",545.205601,237.24090999999999,0.35150000000000003,3.2960000000000003,199.70000000000002,1.6600000000000001,257,1.03,7.1000000000000005,6273,4.345,1.155,"FALSE POSITIVE",0.002,0.998
6809,11868941,"K05939.01",105.053389,208.7282,0.2199,1.988,176.70000000000002,1.52,449,9.61,5.800000000000001,6471,4.392,1.1300000000000001,"FALSE POSITIVE",0.1103254882991314,0.8896745117008686
6811,11910670,"K05941.01",44.7060191,154.40282,1.6552,0.25,292.0,60.47,465,11.01,6.6000000000000005,5509,4.482,0.811,"FALSE POSITIVE",0.08664248982816934,0.9133575101718306
6813,11923213,"K05943.01",27.2020672,151.86606,0.223,1.8110000000000002,180.3,1.87,719,63.31,8.700000000000001,5869,4.175,1.3960000000000001,"FALSE POSITIVE",0.2152504769936204,0.7847495230063796
6818,12007270,"K05948.01",398.51312,165.21769999999998,0.5091,5.41,249.20000000000002,1.23,222,0.58,5.9,5776,4.596,0.759,"FALSE POSITIVE",0.01572504711151123,0.9842749528884888
6819,12009917,"K05949.01",559.785594,433.1966,0.41100000000000003,3.496,274.8,1.8800000000000001,249,0.92,7.300000000000001,6201,4.352,1.111,"FALSE POSITIVE",0.0,1.0
6820,12020376,"K05950.01",109.43946000000001,223.41279999999998,0.09050000000000001,3.801,187.10000000000002,1.0,314,2.31,7.300000000000001,5359,4.611,0.741,"FALSE POSITIVE",0.11486435849964619,0.8851356415003538
6822,12071775,"K05952.01",164.507439,212.76049999999998,0.3819,11.428,433.8,2.15,346,3.39,11.700000000000001,5866,4.382,1.02,"FALSE POSITIVE",0.3255585178285837,0.6744414821714163
6823,12102775,"K05953.01",370.84786,260.7921,0.8847,13.966000000000001,1440.0,4.03,219,0.54,15.200000000000001,5291,4.539,0.886,"FALSE POSITIVE",0.07138135204464197,0.928618647955358
6824,12105086,"K05954.01",73.90899499999999,159.8067,0.49470000000000003,3.9160000000000004,100.5,0.9400000000000001,421,7.44,7.0,5865,4.518,0.918,"FALSE POSITIVE",0.08116468630731105,0.918835313692689
6829,12168895,"K05959.01",251.48808000000002,192.46099999999998,0.8011,6.800000000000001,305.0,1.74,284,1.55,6.4,5979,4.5200000000000005,0.902,"FALSE POSITIVE",0.05816949152946472,0.9418305084705353
6833,12300524,"K05964.01",32.033211,146.8143,0.007,5.289000000000001,71.3,0.85,591,28.78,9.200000000000001,6039,4.478,1.0050000000000001,"FALSE POSITIVE",0.22461653331667183,0.7753834666833281
6834,12349560,"K05965.01",43.397562199999996,153.934,0.08,3.9080000000000004,585.3000000000001,1.69,388,5.3500000000000005,8.6,4871,4.6080000000000005,0.725,"FALSE POSITIVE",0.2599742528498173,0.7400257471501828
6835,12350136,"K05966.01",478.79185021,184.4598838,,4.0600000000000005,,,,,,,,,"FALSE POSITIVE",0.002804655130021274,0.9971953448699787
6837,10967168,"K05845.01",22.2659599,144.87,0.030000000000000002,4.816,61.300000000000004,1.18,896,152.29,8.3,6888,4.223,1.492,"FALSE POSITIVE",0.18396088882535697,0.816039111174643
6841,10989620,"K05849.01",21.512259,139.02249999999998,0.1017,4.337000000000001,131.3,1.1300000000000001,639,39.45,7.1000000000000005,5611,4.424,0.997,"FALSE POSITIVE",0.21328831123560668,0.7867116887643933
6843,12402588,"K05968.01",97.942437,157.97324999999998,0.0071,2.575,100.2,2.29,600,30.59,7.800000000000001,5997,3.806,2.2840000000000003,"FALSE POSITIVE",0.0388137931227684,0.9611862068772316
