kepid,kepoi_name,P (Exoplanet) – Logistic Regression,P (Exoplanet) – Random Forest,P (Exoplanet) – Gradient Boosting Machine
5621586,K02415.01,0.6617934314,0.8093907645,0.9451694151
9210387,K02416.01,0.7059162108,0.5268221021,0.1013073221
11852982,K00247.01,0.7599902098,0.9690675866,0.9987747987
2718778,K02489.01,0.6121218247,0.6581442896,0.786245856
3122913,K02490.01,0.8792127952,0.8957779759,0.9916282699
9654468,K02417.01,0.6080905769,0.8400374418,0.9930470034
8247770,K02569.01,0.7909492356,0.8838752992,0.9931948157
6867588,K02571.01,0.2967225287,0.3035813291,0.2612037198
7501646,K02572.01,0.6931919599,0.7879198936,0.9863639087
8838950,K02421.01,0.6228481635,0.5113516252,0.901587119
8256453,K02573.01,0.1451543647,0.0300027272,0.0001651478
12257999,K02577.01,0.0534746422,0.447999311,0.9515111303
6922203,K02578.01,0.4651892538,0.0793610033,0.0005922262
8631504,K02503.01,0.8582152012,0.7630272652,0.9777203456
8110767,K02504.01,0.8188872293,0.9633491317,0.9986820358
8379705,K02507.01,0.6057240827,0.5595325174,0.4440482781
9896018,K02579.01,0.3533550223,0.4447918105,0.5197321808
11818872,K02581.01,0.7623624359,0.7079248698,0.9528650966
11771430,K02582.01,0.7721344653,0.9221936411,0.998430613
10387742,K02583.01,0.5747924798,0.6597757931,0.9782952714
12156347,K02588.01,0.6508424588,0.7820653498,0.9798335073
8636539,K02656.01,0.5918972353,0.5850307991,0.9488717896
9283156,K02657.01,0.7371548367,0.7920514567,0.9487253344
8547429,K02658.01,0.466080772,0.6895678253,0.7544788959
5097868,K02435.01,0.4075562908,0.2321454554,0.0179462649
9574158,K02512.01,0.5866325575,0.592412977,0.5683405075
9653622,K02513.01,0.4435069146,0.0603978495,0.0006858932
7294743,K02516.01,0.3637859591,0.4371852217,0.1919755752
6765135,K02592.01,0.1464158537,0.3367224056,0.1246879297
3861595,K00004.01,0.0915031235,0.2211734831,0.03724513
5342061,K02666.01,0.410680192,0.2952482935,0.026393478
4047631,K02519.01,0.639801166,0.6586414482,0.4326947774
8022489,K02674.01,0.2016419333,0.5995227273,0.8489176923
6516185,K02445.01,0.4506861448,0.2636083713,0.0549134008
7183745,K02521.02,0.6184114235,0.7499451584,0.9989572949
9177629,K02522.01,0.6421453481,0.7995878878,0.9891306459
5942949,K02525.01,0.8462464081,0.7723666369,0.9912082646
7446631,K02598.01,0.710829636,0.7209587482,0.935763042
5906426,K02377.01,0.6348553805,0.8113357906,0.8752158651
12208631,K02449.01,0.5626264303,0.9196326116,0.9974586878
7879433,K02527.01,0.6390145581,0.4519843867,0.5874311217
9205907,K02528.01,0.5222018758,0.5070331783,0.1645367593
2443393,K02603.01,0.6213800864,0.5756394242,0.9743806553
9019191,K02604.01,0.5559717972,0.0806194447,0.0076687075
3002478,K02380.01,0.7373600207,0.6894245596,0.9386993569
8631751,K02453.01,0.5941147547,0.7733105022,0.9977685339
4172746,K02531.01,0.8657919459,0.9176379441,0.9969235952
5174858,K02532.01,0.5766546584,0.7262069864,0.909779408
5095635,K02607.01,0.0945469908,0.2737755218,0.0283636455
4172013,K02386.01,0.3862992857,0.2274762809,0.782821043
5042210,K02462.01,0.5271801464,0.6893170683,0.8387666468
1996180,K02534.02,0.3474530063,0.6660174221,0.8184691283
9635606,K02535.01,0.5828512429,0.3565301029,0.3305596414
1849702,K02538.01,0.8392470607,0.626626357,0.97230056
2305866,K02610.01,0.3842502684,0.5257250124,0.4925178577
11187837,K00252.01,0.7627039097,0.9520552551,0.9931565204
9712350,K02613.01,0.7839561042,0.6044891559,0.4954378965
6183511,K02542.01,0.7188255497,0.6069552436,0.6282953904
12469800,K02543.01,0.4891661456,0.4890660256,0.6667507778
11465950,K02620.01,0.5739907151,0.7961921884,0.8632614672
4665571,K02393.01,0.8008069933,0.8508837651,0.9247383588
6199056,K02398.01,0.0004310644,0.006,1.20690677007929E-06
11818607,K02467.01,0.460807791,0.5112813059,0.0650719341
