rowid,kepid,kepoi_name,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad
1116,11870545,K01510.01,0.839961456,178.354,0.548,1.3008,492.9,1.63,1455,1066.37,35.1,4932,4.618,0.718
1121,5376836,K00182.01,3.479425638,136.797172,0.612,3.4479,19550,12.86,1166,435.85,123.3,5907,4.519,0.878
1124,5031857,K01573.01,24.81097206,156.506971,0.039,3.2245,2090.8,4.22,631,37.43,123.9,6086,4.511,0.921
1125,5031857,K01573.02,7.136922,131.75317,0.072,2.8005,221.6,1.38,956,197.05,23.7,6086,4.511,0.921
1129,11046025,K01646.01,3.72020708,133.41684,0.341,1.892,156.9,0.99,954,195.7,15,5017,4.516,0.797
1134,8651389,K01754.01,15.13590453,146.58371,0.46,2.236,255.7,2.57,933,179.16,19.8,6050,4.137,1.572
1142,10028792,K01574.03,5.83393857,132.63426,0.398,4.5813,134.4,1.98,1285,642.83,17.6,5597,3.963,1.699
1147,11153121,K01647.03,6.33027476,133.86213,0.3288,3.67,89.2,1.02,1046,283.31,9.8,5900,4.363,1.07
1148,11177543,K01648.01,38.3262237,142.08401,0.963,3.073,392.1,2.43,480,12.56,15,5229,4.441,0.903
1149,11337141,K01649.01,4.04355245,131.62995,0.984,1.965,416.2,1.75,613,33.34,21.2,3871,4.744,0.532
1150,6705142,K01758.01,5.59728249,131.86708,0.473,1.795,1407.3,3.28,930,176.53,30.8,5610,4.551,0.858
1153,4067336,K01761.01,10.12742274,135.26504,0.696,1.2762,933.5,3.8,969,208.77,19.5,6392,4.399,1.162
1159,6803202,K00177.01,21.06075303,143.59983,0.176,5.2472,301.2,1.78,669,47.39,54.4,5706,4.382,1.034
1162,5299459,K01576.03,23.3397956,146.3627,0.4757,1.923,125.1,1.23,653,43.02,4.5,5671,4.36,1.084
1170,4471747,K01656.01,51.3901452,145.3192,0.946,5.995,494,3.62,570,24.98,15.4,6074,4.284,1.292
1182,7939330,K01581.01,29.5422566,137.57837,0.959,13.902,879.9,3.15,515,16.56,39.5,5510,4.572,0.803
1184,4918309,K01582.01,186.4361811,146.91825,0.921,5.774,4347,11.32,353,3.66,66.5,5393,4.132,1.37
1188,4650733,K01659.01,29.5390897,143.91607,0.213,4.139,403.3,2.51,714,61.49,18.8,6572,4.365,1.238
1189,4830605,K01660.01,35.6364022,164.17496,0.654,4.888,452.6,1.99,537,19.62,15.7,5926,4.532,0.887
1191,12120943,K01458.01,8.98128472,354.83042,0.294,5.0397,4924,7.19,898,153.36,76.6,5977,4.473,1.022
1196,7768451,K01527.01,192.667139,162.87962,0.911,5.443,1148.3,3.64,283,1.52,26,5401,4.487,0.878
1207,4932442,K01665.02,5.91393977,137.17182,0.0896,0.562,84,1.07,1112,361,2.8,6194,4.415,1.129
1210,5360920,K01675.01,14.62399621,144.45527,1.209,2.193,1082,21.92,681,50.91,25,5753,4.57,0.815
1214,9512981,K01466.01,281.5628889,357.996571,0,8.853,21012,10.83,214,0.49,237.1,4810,4.536,0.776
1227,5972334,K00191.02,2.418406841,132.505587,0.018,2.0744,665.4,2.25,1226,535.84,69.1,5422,4.484,0.887
1228,5526717,K01677.02,8.51170088,131.7557438,,2.9,,,,,,,,
1230,5531953,K01681.01,6.93910337,138.33927,0.966,2.977,614.7,1.41,445,9.28,22.9,3638,4.844,0.42
1235,9480310,K01470.01,15.43400996,363.29494,0.707,4.2572,1785.9,4.3,721,63.79,59.7,5900,4.509,0.951
1240,9872292,K01537.01,10.19154678,136.69755,0.659,6.165,61.3,1.39,1144,404.17,27.6,6212,4.049,1.684
1242,8081482,K01539.01,2.819453322,133.870141,0.532,4.4127,71867,29.8,1357,803.4,202,5767,4.33,1.074
1243,5542466,K01590.01,12.89006728,201.22989,0.082,3.555,602.5,1.93,620,34.99,23.6,4915,4.512,0.812
1245,5542466,K01590.02,2.35574505,177.88824,0.5,1.796,266.9,1.34,1093,338.4,17,4915,4.512,0.812
1246,5542466,K01590.03,4.74666128,134.63784,0.441,2.093,256.8,1.3,865,132.4,12.5,4915,4.512,0.812
1247,10028140,K01591.01,19.65639342,140.29937,0.955,3.226,843.2,2.83,549,21.5,25.5,5288,4.613,0.74
1249,6049190,K01685.01,70.468171,189.15822,0.031,6.653,922.4,3.46,511,16.17,45,6461,4.396,1.131
1255,7499398,K01473.01,23.02028478,357.786124,0.794,3.544,5077.8,7.58,604,31.4,97.2,5613,4.496,0.956
1257,4770365,K01475.01,1.609321941,178.94178,0.016,1.6067,728.5,1.57,958,199.28,35.3,4224,4.662,0.603
1258,4770365,K01475.02,9.51220046,185.47893,0.133,2.9497,1169.4,1.99,530,18.66,31.9,4224,4.662,0.603
1259,4770365,K01475.03,4.72941177,132.93871,0.236,2.234,434.3,1.22,669,47.3,14.6,4224,4.662,0.603
1264,4840513,K01541.01,2.379282197,133.651365,0.003,3.1729,48434,25.74,1571,1442.19,538,6392,4.399,1.162
1270,5972334,K00191.03,0.708621057,133.36565,0.033,1.5041,187.5,1.2,1846,2741.07,30.5,5422,4.484,0.887
1272,6696462,K01693.01,3.403743926,137.232574,1.075,1.5017,815.9,10.77,1101,346.98,59.5,5596,4.533,0.853
