rowid,koi_disposition,isExoplanet,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
4075,FALSE POSITIVE,0,316.57747,236.5015,0.2569,14.64,269.1,1.47,255,1.01,10.2,,,5822,4.529,0.898,294.73132,43.989361,15.246
4076,CANDIDATE,1,1.8679943,133.22986,0.173,1.087,73.4,0.7,1291,658.77,10,1,q1_q17_dr25_tce,5487,4.568,0.815,290.88486,39.115921,14.185
4077,CANDIDATE,1,8.9172863,139.6051,0.062,4.468,196.3,1.39,931,177.84,7.2,1,q1_q17_dr25_tce,6210,4.467,0.986,296.896,48.04726,14.671
4078,FALSE POSITIVE,0,0.519437968,131.78909,1.172,2.129,226.2,20.48,2402,7822.62,25.4,1,q1_q17_dr25_tce,6181,4.464,1.006,299.08536,40.774529,15.421
4079,CANDIDATE,1,1.33807075,132.34756,0.003,1.425,20.2,0.6,2008,3844.97,8.5,1,q1_q17_dr25_tce,6355,4.299,1.319,301.15656,44.379532,11.179
4080,FALSE POSITIVE,0,1.105095798,132.55178,0.295,2.624,141.7,0.89,1445,1025.9,17.4,1,q1_q17_dr25_tce,5296,4.604,0.752,293.82782,48.054241,15.815
4081,FALSE POSITIVE,0,245.01902,268.1105,0.3471,8.56,375.9,1.98,310,2.17,10.1,,,6167,4.451,1.01,290.62659,41.490959,14.881
4082,FALSE POSITIVE,0,10.2239787,135.4415,0.439,1.814,213.5,24.43,2364,7383.41,6.5,1,q1_q17_dr25_tce,4673,2.412,16.823,286.77161,39.266941,13.188
4083,CANDIDATE,1,56.4148314,163.128,0.908,8.075,480.1,2.9,535,19.37,16.4,3,q1_q17_dr25_tce,6325,4.409,1.112,294.33847,50.33654,15.212
4084,FALSE POSITIVE,0,2.18079098,132.39262,0.74,12.13,83.2,3.29,2767,13876.96,69.3,1,q1_q17_dr25_tce,6911,3.661,3.339,286.04739,38.979851,10.008
4085,CONFIRMED,1,20.9254083,134.8986,0.201,6.783,109,1.26,729,66.95,15.5,1,q1_q17_dr25_tce,5821,4.283,1.21,289.18265,47.873379,13.966
4086,CONFIRMED,1,13.0600399,144.33107,0.495,2.851,106.8,0.8,630,37.3,12.5,2,q1_q17_dr25_tce,5168,4.566,0.769,291.62878,41.208599,13.942
4087,FALSE POSITIVE,0,0.641069613,132.14101,0.061,1.033,78.6,0.86,2196,5512.38,10.5,1,q1_q17_dr25_tce,6077,4.451,0.961,299.60825,41.268341,14.098
4088,FALSE POSITIVE,0,2.2430415,133.4408,0.147,3.63,101.1,0.89,1344,770.18,8.1,1,q1_q17_dr25_tce,5897,4.531,0.891,296.63315,39.327141,15.596
4089,FALSE POSITIVE,0,1.21475168,131.7581,0.461,6.93,266.1,5.5,3302,28091.85,7.9,1,q1_q17_dr25_tce,6732,3.632,3.276,299.08658,45.776821,11.464
4090,CANDIDATE,1,17.3731821,138.28747,0.227,3.36,71.7,1.31,901,155.73,14,1,q1_q17_dr25_tce,6180,4.155,1.54,294.20984,46.479969,12.677
4091,CANDIDATE,1,1.97507424,132.3567,0.152,2.61,130.5,1.08,1477,1122.82,15,1,q1_q17_dr25_tce,6065,4.495,0.947,296.81158,41.51569,15.276
4092,CONFIRMED,1,27.4784659,148.6101,0.008,7.5,83.2,1.52,736,69.3,12.3,1,q1_q17_dr25_tce,5432,3.993,1.707,287.93719,46.418491,13.63
4093,FALSE POSITIVE,0,244.86662,141.9596,0.3872,10.56,289.5,1.46,273,1.31,9.7,,,5821,4.554,0.848,290.04114,42.10574,14.462
4094,FALSE POSITIVE,0,1.30627214,132.0858,0.57,5.144,95.4,0.87,1490,1161.23,10.3,1,q1_q17_dr25_tce,5513,4.543,0.862,294.99649,39.629921,15.762
4095,FALSE POSITIVE,0,62.366706,142.3899,0.1725,4.32,95.4,1.88,698,56.09,7.1,,,6749,4.031,1.9,287.39777,43.414341,11.208
4096,FALSE POSITIVE,0,0.933732791,131.53707,0.022,3.056,96.9,0.9,1773,2344.56,13.8,1,q1_q17_dr25_tce,5496,4.405,0.927,291.61646,48.775639,14.812
4097,FALSE POSITIVE,0,53.106597,145.2776,0.5182,2.914,82.4,2.2,860,129.19,7.3,,,7217,3.893,2.343,296.04196,48.681351,11.159
4098,FALSE POSITIVE,0,360.15417,188.796,0.2583,12.806,790.6,2.99,270,1.25,11.1,,,6065,4.452,1.061,287.25299,45.90934,15.435
4099,CANDIDATE,1,3.3879165,133.93645,0.117,1.818,78.6,1.09,1336,750.6,10.4,1,q1_q17_dr25_tce,5702,4.247,1.245,293.28015,46.560089,14.491
4100,FALSE POSITIVE,0,1.42856815,132.81461,0.3097,2.132,59.5,0.64,1547,1352.91,11.8,1,q1_q17_dr24_tce,5979,4.557,0.822,290.44476,48.462891,14.766
4101,FALSE POSITIVE,0,381.850599,296.4969,0.4148,4.772,1702,3.59,222,0.58,13.8,,,5485,4.556,0.867,285.28363,38.947281,15.403
4102,CANDIDATE,1,10.81315417,131.65931,0.804,1.275,80.3,1.46,1045,281.84,16.6,1,q1_q17_dr25_tce,6380,4.24,1.46,286.62854,50.471272,11.487
4103,FALSE POSITIVE,0,359.08368,415.3834,1.262,15.67,618.7,29.15,268,1.23,10.8,1,q1_q17_dr25_tce,6256,4.493,0.932,291.18927,38.731159,15.145
4104,CANDIDATE,1,58.7488629,172.65025,0.186,3.191,473.6,1.75,425,7.7,13.6,1,q1_q17_dr25_tce,5574,4.505,0.805,290.77655,47.64843,14.122
4105,FALSE POSITIVE,0,3.74784374,134.19157,0.093,3.658,116.5,1.08,1226,534.57,12.8,1,q1_q17_dr25_tce,6122,4.471,0.996,290.97906,50.258148,15.13
4106,CANDIDATE,1,64.740274,149.9922,0.74,15.082,113.1,1.35,518,16.96,16.4,1,q1_q17_dr25_tce,5999,4.263,1.177,286.77313,39.277531,13.219
4107,CANDIDATE,1,5.38299284,136.239,0.417,3.336,35.1,0.78,1253,582.98,10.7,1,q1_q17_dr25_tce,6256,4.27,1.293,299.09537,43.439098,12.642
4108,FALSE POSITIVE,0,1.71028117,131.62619,0.372,2.61,111.6,0.91,1454,1055.42,13.8,1,q1_q17_dr25_tce,5910,4.55,0.855,292.68515,41.905918,15.422
4109,CANDIDATE,1,2.0481582,132.17679,0.179,1.899,183.3,1.16,1346,773.92,11.7,1,q1_q17_dr25_tce,5799,4.548,0.86,292.02621,41.984119,15.98
4110,CANDIDATE,1,140.251943,175.137,0.323,6.576,567.7,1.84,271,1.28,11.9,1,q1_q17_dr25_tce,4821,4.529,0.788,296.45776,41.266022,15.429
4111,CANDIDATE,1,14.7179342,135.6498,0.704,5.844,132.3,1.25,784,89.3,12.7,1,q1_q17_dr25_tce,6102,4.449,1.018,295.09201,49.940079,14.654
4112,FALSE POSITIVE,0,0.570828503,131.58958,0.609,0.915,174.4,0.54,986,222.55,13.9,3,q1_q17_dr25_tce,3585,4.868,0.388,288.86853,39.496132,15.068
