"rowid","kepid","koi_disposition","koi_period","koi_time0bk","koi_impact","koi_duration","koi_depth","koi_prad","koi_teq","koi_insol","koi_model_snr","koi_tce_plnt_num","koi_tce_delivname","koi_steff","koi_slogg","koi_srad","ra","dec","koi_kepmag","predict","p0","p1"
541,9605514,"CANDIDATE",25.847495799999997,188.874,0.054,5.985,537.4,2.4,672,48.230000000000004,27.3,2,"q1_q17_dr25_tce",6297,4.448,1.031,297.95160000000004,46.264720999999994,15.083,"1",0.148192597490026,0.851807402509974
542,9605514,"CANDIDATE",40.715561,146.36485,0.008,6.894,680.9000000000001,2.7,578,26.34,28.900000000000002,1,"q1_q17_dr25_tce",6297,4.448,1.031,297.95160000000004,46.264720999999994,15.083,"1",0.2493084972086601,0.7506915027913399
551,10141900,"CANDIDATE",6.50327035,135.26657,0.08,2.591,418.3,1.67,804,98.81,19.0,1,"q1_q17_dr25_tce",4999,4.49,0.843,292.14447,47.157348999999996,15.692,"1",0.14369727811369137,0.8563027218863086
552,10141900,"CANDIDATE",4.09667624,133.09833,0.14200000000000002,2.1900000000000004,302.3,1.42,938,182.9,16.2,3,"q1_q17_dr25_tce",4999,4.49,0.843,292.14447,47.157348999999996,15.692,"1",0.07028750759129632,0.9297124924087037
562,5297298,"CANDIDATE",34.193600311000004,155.2966351,0.625,5.41382,13715.0,21.95,778,86.74,1405.6000000000001,1,"q1_q17_dr25_tce",6129,3.991,1.786,297.36032,40.429809999999996,13.325000000000001,"1",0.49336786507305574,0.5066321349269443
564,9772531,"CANDIDATE",31.201692472,183.40761369999998,0.001,2.1566300000000003,34514.0,8.31,286,1.59,607.4,1,"q1_q17_dr25_tce",3748,4.796,0.449,292.65704000000005,46.537338,15.798,"0",0.7901300222793457,0.2098699777206543
573,4649305,"CANDIDATE",22.65117451,140.337593,0.925,3.6895000000000002,2250.0,7.62,855,126.57000000000001,170.10000000000002,1,"q1_q17_dr25_tce",6968,4.3100000000000005,1.333,290.10333,39.781631,13.682,"1",0.562094567287289,0.43790543271271104
575,10118816,"CANDIDATE",7.71790675,139.15725,0.112,1.84,306.8,0.9,502,15.01,12.600000000000001,1,"q1_q17_dr25_tce",3975,4.753,0.509,281.05011,47.188148,15.233,"1",0.04066422718468676,0.9593357728153132
581,10295951,"CANDIDATE",6.810823723,136.04667,0.5700000000000001,7.985740000000001,14447.0,26.060000000000002,1626,1656.16,1441.9,1,"q1_q17_dr25_tce",7226,3.967,2.079,299.10281000000003,47.377781,12.628,"0",0.8887368318581867,0.11126316814181321
597,3247268,"CANDIDATE",12.21828097,140.32109499999999,0.778,2.6969000000000003,1843.4,5.1000000000000005,835,114.59,90.10000000000001,2,"q1_q17_dr25_tce",5822,4.351,1.081,294.43350000000004,38.35545,14.696,"1",0.4052418306333597,0.5947581693666403
603,10354039,"CANDIDATE",64.617518,166.14425,0.9,5.796,2486.6000000000004,5.4,383,5.09,61.900000000000006,1,"q1_q17_dr25_tce",5043,4.47,0.881,297.01483,47.486430999999996,15.332,"1",0.5158415815768629,0.4841584184231371
613,2164169,"CANDIDATE",32.3122867,133.867,0.934,6.569000000000001,677.8000000000001,4.84,699,56.49,33.6,1,"q1_q17_dr25_tce",5821,4.108,1.494,292.29099,37.580799,14.757,"1",0.5583465176141658,0.4416534823858342
614,2574338,"CANDIDATE",9.22961384,138.43961,0.067,2.2350000000000003,492.1,2.79,1021,257.11,19.3,1,"q1_q17_dr25_tce",6320,4.347,1.252,291.13849000000005,37.859299,15.399000000000001,"1",0.32377472908929883,0.6762252709107012
619,3329204,"CANDIDATE",51.59809554,203.97991399999998,0.251,2.0153000000000003,5869.200000000001,6.57,449,9.61,79.7,1,"q1_q17_dr25_tce",5681,4.551,0.859,287.61688000000004,38.402321,15.617,"1",0.26621746548150504,0.733782534518495
620,3230491,"CANDIDATE",1500.0,315.33083,0.9243,7.109000000000001,9592.0,9.8,139,0.09,62.5,,,5606,4.597,0.76,290.18304,38.321940999999995,14.709,"0",0.9999999979791908,2.0208092000388555E-9
630,1026957,"CANDIDATE",21.76129812,166.540438,0.12300000000000001,1.243,1300.7,2.5300000000000002,486,13.18,60.0,1,"q1_q17_dr25_tce",4859,4.612,0.72,291.25449000000003,36.74361,12.559000000000001,"1",0.13124051025534156,0.8687594897446584
631,10002261,"CANDIDATE",12.713794177,175.07256769999998,0.48500000000000004,2.4409300000000003,36719.0,2.31,181,0.26,2981.3,1,"q1_q17_dr25_tce",2661,5.283,0.116,287.55972,46.957085,13.102,"1",0.41848629573852614,0.5815137042614739
633,2162635,"CANDIDATE",1500.1406772,176.08226,0.9131,25.727000000000004,4129.900000000001,18.35,206,0.42,83.30000000000001,,,5009,3.755,2.283,291.97754000000003,37.532551,13.862,"0",0.9999999990231938,9.768061715469053E-10
646,10337517,"CANDIDATE",7.053934488,136.357253,0.899,1.7244000000000002,511.5,2.36,840,117.33,56.300000000000004,1,"q1_q17_dr25_tce",5357,4.498,0.863,291.06293000000005,47.484798,13.916,"1",0.34844700633682124,0.6515529936631788
648,10351231,"CANDIDATE",7.6746614,133.22431,0.9390000000000001,1.9374000000000002,503.0,2.8000000000000003,957,198.67000000000002,20.8,1,"q1_q17_dr25_tce",6063,4.47,1.0010000000000001,296.13141,47.43882,15.44,"1",0.6034209199316268,0.39657908006837317
662,7102227,"CANDIDATE",0.7640175530000001,132.2214,0.442,1.103,128.20000000000002,0.86,1589,1503.79,13.200000000000001,3,"q1_q17_dr25_tce",5142,4.602,0.755,286.41,42.681549,15.596,"1",0.43127972073260723,0.5687202792673928
664,6837146,"CANDIDATE",20.51360192,357.49424,0.7030000000000001,3.4769,1174.1000000000001,2.58,540,20.150000000000002,32.300000000000004,1,"q1_q17_dr25_tce",5310,4.6080000000000005,0.704,281.60541,42.390419,15.406,"1",0.14029020442733386,0.8597097955726661
666,11122894,"CANDIDATE",150.01895109999998,224.685714,1.252,4.382300000000001,4319.7,32.6,325,2.62,106.2,2,"q1_q17_dr25_tce",5618,4.46,0.897,283.20917000000003,48.777640999999996,14.232000000000001,"1",0.4208217431347031,0.5791782568652969
669,11030711,"CANDIDATE",205.912735,252.74129,0.196,9.992,2378.8,4.68,298,1.85,49.400000000000006,1,"q1_q17_dr25_tce",5644,4.457,0.969,292.35150000000004,48.511081999999995,15.531,"1",0.6093588322768275,0.39064116772317253
671,6607286,"CANDIDATE",0.7832761730000001,355.94865,0.041,1.6735000000000002,264.7,1.98,2149,5056.88,46.900000000000006,1,"q1_q17_dr25_tce",5640,4.247,1.233,292.17859000000004,42.005908999999996,15.005,"0",0.8003322479074273,0.19966775209257276
672,6607286,"CANDIDATE",3.17405898,357.05776,0.42200000000000004,2.3156000000000003,282.2,2.09,1348,780.46,29.200000000000003,2,"q1_q17_dr25_tce",5640,4.247,1.233,292.17859000000004,42.005908999999996,15.005,"1",0.3161509027449384,0.6838490972550616
690,11075279,"CANDIDATE",345.15893539999996,318.30771899999996,0.87,7.5646,5087.900000000001,7.79,241,0.8,197.9,1,"q1_q17_dr25_tce",5597,4.515,0.931,287.02228,48.681937999999995,13.46,"0",0.9340716852446962,0.06592831475530377
692,6607447,"CANDIDATE",99.6442783,283.236289,0.9660000000000001,5.1772,3215.6000000000004,8.48,415,6.98,163.20000000000002,1,"q1_q17_dr25_tce",6102,4.447,1.016,292.22839000000005,42.03537,13.75,"1",0.5864720866744506,0.4135279133255494
712,6441738,"CANDIDATE",19.03723442,148.55057,0.033,3.3882000000000003,401.3,5.74,1051,288.04,25.3,1,"q1_q17_dr25_tce",5248,3.523,2.892,291.42755,41.878159,14.898,"1",0.13170789814800254,0.8682921018519975
720,10713616,"CANDIDATE",83.5781976,202.45864999999998,0.544,7.2487,630.8000000000001,6.63,655,43.62,54.900000000000006,1,"q1_q17_dr25_tce",6056,3.7880000000000003,2.562,283.53296,48.094260999999996,13.498000000000001,"1",0.15850893899242202,0.841491061007578
736,8454250,"CANDIDATE",5.082722475000001,137.26075,0.019,5.913900000000001,1974.1000000000001,4.4,1059,296.94,95.5,1,"q1_q17_dr25_tce",5780,4.438,1.0,299.07388000000003,44.431678999999995,12.777000000000001,"1",0.45931412389472437,0.5406858761052756
740,10928043,"CANDIDATE",6.84639884,133.76181,0.9,3.4919000000000002,149.70000000000002,1.9000000000000001,1132,387.84000000000003,36.300000000000004,1,"q1_q17_dr25_tce",6065,4.251,1.31,295.29385,48.374801999999995,13.137,"1",0.5637204478740871,0.43627955212591285
741,10794087,"CANDIDATE",7.64970832,138.33113,0.898,6.625000000000001,55.400000000000006,1.43,1144,404.99,28.5,1,"q1_q17_dr25_tce",5855,4.125,1.613,290.55237,48.126262999999994,11.926,"1",0.5100141078928978,0.4899858921071022
742,10794087,"CANDIDATE",12.37679312,143.3787176,,3.8500000000000005,,,,,,,,,,,290.55237,48.126262999999994,11.926,"0",0.9834309900501668,0.01656900994983325
745,7287415,"CANDIDATE",3.0161820130000003,133.88395,0.732,2.8349,222.5,2.25,1449,1044.49,31.900000000000002,1,"q1_q17_dr25_tce",5611,4.144,1.4000000000000001,293.46902,42.822410999999995,14.878,"0",0.7209037868149477,0.27909621318505234
752,11599038,"CANDIDATE",7.01733571,133.90591999999998,0.5810000000000001,3.567,255.5,1.61,984,221.46,15.5,1,"q1_q17_dr25_tce",6052,4.456,0.967,284.84662000000003,49.692402,15.280000000000001,"1",0.2409965509408497,0.7590034490591503
759,8630788,"CANDIDATE",148.272013,138.00557,0.883,4.192,1707.4,4.3,321,2.5100000000000002,21.8,3,"q1_q17_dr25_tce",5717,4.538,0.884,294.10818,44.770699,15.773,"1",0.43915491996102063,0.5608450800389794
766,6766634,"CANDIDATE",321.21243649999997,206.930556,0.873,4.0120000000000005,2358.6,7.25,310,2.17,81.7,1,"q1_q17_dr25_tce",6018,4.257,1.286,288.32043000000004,42.261413999999995,13.709,"0",0.9002165395724545,0.09978346042754552
780,8678594,"CANDIDATE",15.19423359,142.73422,0.906,3.1060000000000003,367.8,3.69,893,150.25,18.1,2,"q1_q17_dr25_tce",5588,4.047,1.593,287.17490000000004,44.878571,15.120000000000001,"1",0.17538519565657396,0.824614804343426
803,8813698,"CANDIDATE",268.9410974,360.070904,0.765,5.4434000000000005,9010.2,13.57,321,2.52,120.4,1,"q1_q17_dr25_tce",5798,4.224,1.306,289.88962000000004,45.005669,14.814,"0",0.8853358993232594,0.11466410067674054
